month,bidding_no,vehicle_class,premium
2017-01,1,Open,18502
2017-01,1,High,19190
2017-01,1,Close,19001
2017-01,1,Low,889
2017-01,2,Open,20501
2017-01,2,High,22400
2017-01,2,Close,20090
2017-01,2,Low,852
2017-02,1,Open,19989
2017-02,1,High,23180
2017-02,1,Close,21390
2017-02,1,Low,852
2017-02,2,Open,20340
2017-02,2,High,23889
2017-02,2,Close,23501
2017-02,2,Low,1001
2017-03,1,Open,20802
2017-03,1,High,26389
2017-03,1,Close,27001
2017-03,1,Low,1159
2017-03,2,Open,28389
2017-03,2,High,36089
2017-03,2,Close,32890
2017-03,2,Low,1200
2017-04,1,Open,34001
2017-04,1,High,45501
2017-04,1,Close,36511
2017-04,1,Low,1221
2017-04,2,Open,30000
2017-04,2,High,40001
2017-04,2,Close,35556
2017-04,2,Low,1253
2017-05,1,Open,26102
2017-05,1,High,38000
2017-05,1,Close,32501
2017-05,1,Low,1252
2017-05,2,Open,27389
2017-05,2,High,34600
2017-05,2,Close,29389
2017-05,2,Low,1312
2017-06,1,Open,29501
2017-06,1,High,35909
2017-06,1,Close,31389
2017-06,1,Low,1320
2017-06,2,Open,31510
2017-06,2,High,39911
2017-06,2,Close,31689
2017-06,2,Low,1454
2017-07,1,Open,29501
2017-07,1,High,35909
2017-07,1,Close,31389
2017-07,1,Low,1320
2017-07,2,Open,36162
2017-07,2,High,42889
2017-07,2,Close,30601
2017-07,2,Low,1290
2017-08,1,Open,32104
2017-08,1,High,43334
2017-08,1,Close,30112
2017-08,1,Low,1301
2017-08,2,Open,29000
2017-08,2,High,42810
2017-08,2,Close,30002
2017-08,2,Low,1251
2017-09,1,Open,33089
2017-09,1,High,44129
2017-09,1,Close,33000
2017-09,1,Low,1502
2017-09,2,Open,30001
2017-09,2,High,42501
2017-09,2,Close,31001
2017-09,2,Low,1452
2017-10,1,Open,33132
2017-10,1,High,42801
2017-10,1,Close,30889
2017-10,1,Low,1502
2017-10,2,Open,32415
2017-10,2,High,44600
2017-10,2,Close,30511
2017-10,2,Low,1689
2017-11,1,Open,34001
2017-11,1,High,45501
2017-11,1,Close,31006
2017-11,1,Low,1452
2017-11,2,Open,39000
2017-11,2,High,47890
2017-11,2,Close,31202
2017-11,2,Low,1502
2017-12,1,Open,47604
2017-12,1,High,62502
2017-12,1,Close,32001
2017-12,1,Low,1701
2017-12,2,Open,46129
2017-12,2,High,72001
2017-12,2,Close,33501
2017-12,2,Low,1551
2018-01,1,Open,38889
2018-01,1,High,69000
2018-01,1,Close,35111
2018-01,1,Low,1503
2018-01,2,Open,40123
2018-01,2,High,58910
2018-01,2,Close,30000
2018-01,2,Low,1690
2018-02,1,Open,37124
2018-02,1,High,53400
2018-02,1,Close,28589
2018-02,1,Low,1819
2018-02,2,Open,42999
2018-02,2,High,62000
2018-02,2,Close,29011
2018-02,2,Low,2001
2018-03,1,Open,42600
2018-03,1,High,61894
2018-03,1,Close,30001
2018-03,1,Low,2604
2018-03,2,Open,43813
2018-03,2,High,57002
2018-03,2,Close,29690
2018-03,2,Low,2534
2018-04,1,Open,43212
2018-04,1,High,55001
2018-04,1,Close,28189
2018-04,1,Low,2490
2018-04,2,Open,44000
2018-04,2,High,56801
2018-04,2,Close,23900
2018-04,2,Low,2502
2018-05,1,Open,44790
2018-05,1,High,56011
2018-05,1,Close,21889
2018-05,1,Low,2253
2018-05,2,Open,46989
2018-05,2,High,56300
2018-05,2,Close,22989
2018-05,2,Low,2013
2018-06,1,Open,53390
2018-06,1,High,63000
2018-06,1,Close,29006
2018-06,1,Low,2491
2018-06,2,Open,50244
2018-06,2,High,67700
2018-06,2,Close,31089
2018-06,2,Low,2290
2018-07,1,Open,55989
2018-07,1,High,68501
2018-07,1,Close,32590
2018-07,1,Low,2360
2018-07,2,Open,56002
2018-07,2,High,72501
2018-07,2,Close,34502
2018-07,2,Low,2019
2018-08,1,Open,48801
2018-08,1,High,70890
2018-08,1,Close,34009
2018-08,1,Low,1890
2018-08,2,Open,49301
2018-08,2,High,65521
2018-08,2,Close,32289
2018-08,2,Low,1999
2018-09,1,Open,51000
2018-09,1,High,63002
2018-09,1,Close,31900
2018-09,1,Low,2339
2018-09,2,Open,48006
2018-09,2,High,64889
2018-09,2,Close,30089
2018-09,2,Low,2109
2018-10,1,Open,50289
2018-10,1,High,63600
2018-10,1,Close,32801
2018-10,1,Low,2078
2018-10,2,Open,56112
2018-10,2,High,75889
2018-10,2,Close,37011
2018-10,2,Low,2091
2018-11,1,Open,55997
2018-11,1,High,77000
2018-11,1,Close,40803
2018-11,1,Low,2019
2018-11,2,Open,54887
2018-11,2,High,77340
2018-11,2,Close,40189
2018-11,2,Low,1889
2018-12,1,Open,52392
2018-12,1,High,72350
2018-12,1,Close,40009
2018-12,1,Low,1902
2018-12,2,Open,50001
2018-12,2,High,70003
2018-12,2,Close,39589
2018-12,2,Low,1481
2019-01,1,Open,46889
2019-01,1,High,65801
2019-01,1,Close,38699
2019-01,1,Low,1682
2019-01,2,Open,48112
2019-01,2,High,67889
2019-01,2,Close,44001
2019-01,2,Low,1552
2019-02,1,Open,52809
2019-02,1,High,73890
2019-02,1,Close,49801
2019-02,1,Low,1802
2019-02,2,Open,57009
2019-02,2,High,78189
2019-02,2,Close,52004
2019-02,2,Low,2019
2019-03,1,Open,56551
2019-03,1,High,79304
2019-03,1,Close,50009
2019-03,1,Low,1490
2019-03,2,Open,56501
2019-03,2,High,82003
2019-03,2,Close,51511
2019-03,2,Low,2000
2019-04,1,Open,58501
2019-04,1,High,83700
2019-04,1,Close,53989
2019-04,1,Low,1896
2019-04,2,Open,64201
2019-04,2,High,91000
2019-04,2,Close,57589
2019-04,2,Low,1924
2019-05,1,Open,62600
2019-05,1,High,92050
2019-05,1,Close,58553
2019-05,1,Low,2021
2019-05,2,Open,58001
2019-05,2,High,85216
2019-05,2,Close,57106
2019-05,2,Low,1890
2019-06,1,Open,59003
2019-06,1,High,83000
2019-06,1,Close,54522
2019-06,1,Low,1912
2019-06,2,Open,59004
2019-06,2,High,85400
2019-06,2,Close,54502
2019-06,2,Low,1712
2019-07,1,Open,59421
2019-07,1,High,82289
2019-07,1,Close,55556
2019-07,1,Low,1760
2019-07,2,Open,68656
2019-07,2,High,90501
2019-07,2,Close,55805
2019-07,2,Low,1859
2019-08,1,Open,73501
2019-08,1,High,94502
2019-08,1,Close,57001
2019-08,1,Low,2081
2019-08,2,Open,66889
2019-08,2,High,88002
2019-08,2,Close,59334
2019-08,2,Low,2013
2019-09,1,Open,68000
2019-09,1,High,80191
2019-09,1,Close,57334
2019-09,1,Low,1801
2019-09,2,Open,63000
2019-09,2,High,88500
2019-09,2,Close,57809
2019-09,2,Low,1852
2019-10,1,Open,69000
2019-10,1,High,80001
2019-10,1,Close,56001
2019-10,1,Low,1912
2019-10,2,Open,71001
2019-10,2,High,85801
2019-10,2,Close,57889
2019-10,2,Low,1920
2019-11,1,Open,77201
2019-11,1,High,92400
2019-11,1,Close,59111
2019-11,1,Low,1959
2019-11,2,Open,77291
2019-11,2,High,93004
2019-11,2,Close,60235
2019-11,2,Low,1689
2019-12,1,Open,78523
2019-12,1,High,90200
2019-12,1,Close,63035
2019-12,1,Low,1612
2019-12,2,Open,81889
2019-12,2,High,93501
2019-12,2,Close,62201
2019-12,2,Low,1701
